Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
139_S91_L001_R1_001_trim	227076.0	143673.0	83403.0	63.2708872800296	171.8
155_S44_L001_R1_001_trim	217238.0	42825.0	174413.0	19.713401891013543	172.0
176_S80_L001_R1_001_trim	103185.0	42862.0	60323.0	41.53898337936715	172.0
195_S1_L001_R1_001_trim	48951.0	5835.0	43116.0	11.920083348654776	0.0
210_S85_L001_R1_001_trim	47258.0	35709.0	11549.0	75.56180964069576	0.0
212_S6_L001_R1_001_trim	101963.0	84916.0	17047.0	83.28119023567373	0.0
216_S42_L001_R1_001_trim	134974.0	95791.0	39183.0	70.96996458577208	0.0
221_S26_L001_R1_001_trim	71502.0	58455.0	13047.0	81.75295795921792	0.0
228_S9_L001_R1_001_trim	96680.0	13323.0	83357.0	13.780513032685146	0.0
239_S74_L001_R1_001_trim	108679.0	6110.0	102569.0	5.6220612997911275	0.0
242_S21_L001_R1_001_trim	169081.0	73521.0	95560.0	43.48270947060876	172.0
244_S45_L001_R1_001_trim	109762.0	77424.0	32338.0	70.53807328583663	172.0
247_S86_L001_R1_001_trim	53423.0	35860.0	17563.0	67.12464668775621	0.0
258_S81_L001_R1_001_trim	196829.0	48120.0	148709.0	24.447616967011975	172.0
259_S51_L001_R1_001_trim	111902.0	95472.0	16430.0	85.31750996407571	0.0
265_S52_L001_R1_001_trim	81387.0	61162.0	20225.0	75.14959391549019	0.0
267_S64_L001_R1_001_trim	136200.0	3267.0	132933.0	2.398678414096916	0.0
269_S88_L001_R1_001_trim	240866.0	3849.0	237017.0	1.597983941278553	0.0
274_S17_L001_R1_001_trim	100603.0	17405.0	83198.0	17.300676918183356	0.0
276_S41_L001_R1_001_trim	69759.0	30095.0	39664.0	43.141386774466376	0.0
278_S93_L001_R1_001_trim	99355.0	84335.0	15020.0	84.8824920738765	0.0
286_S75_L001_R1_001_trim	125803.0	2568.0	123235.0	2.0412867737653313	0.0
287_S87_L001_R1_001_trim	141070.0	32178.0	108892.0	22.80995250584816	0.0
54_S7_L001_R1_001_trim	99914.0	65706.0	34208.0	65.76255579798627	0.0
58_S19_L001_R1_001_trim	95248.0	66589.0	28659.0	69.9111792373593	303.0
AKAL9_S37_L001_R1_001_trim	556110.0	96993.0	459117.0	17.441333549117978	461.0
AKDL5_S15_L001_R1_001_trim	157975.0	134279.0	23696.0	85.00015825288811	447.0
AKFL10_S7_L001_R1_001_trim	297379.0	263479.0	33900.0	88.60040554309484	0.0
BBDL4_S61_L001_R1_001_trim	190916.0	19821.0	171095.0	10.382052839992458	0.0
BBFL4_S64_L001_R1_001_trim	696930.0	276198.0	420732.0	39.63066592053721	0.0
BCAL4_S47_L001_R1_001_trim	419146.0	133431.0	285715.0	31.83401487787072	0.0
BCEL5_S31_L001_R1_001_trim	336766.0	149494.0	187272.0	44.391060855312	0.0
BCQL3_S45_L001_R1_001_trim	290432.0	34480.0	255952.0	11.871970030850596	0.0
CB24_S23_L001_R1_001_trim	243772.0	218453.0	25319.0	89.61365538289877	0.0
CB26_S39_L001_R1_001_trim	216558.0	190080.0	26478.0	87.77325243121935	0.0
CB39_S56_L001_R1_001_trim	611915.0	543535.0	68380.0	88.82524533636207	0.0
LA100_S25_L001_R1_001_trim	96888.0	10148.0	86740.0	10.473949302287176	0.0
LA101_S37_L001_R1_001_trim	71176.0	47629.0	23547.0	66.91721928740024	0.0
LA102_S49_L001_R1_001_trim	92485.0	80390.0	12095.0	86.92220360058388	0.0
LA103_S61_L001_R1_001_trim	76274.0	60426.0	15848.0	79.2222775782049	0.0
LA104_S73_L001_R1_001_trim	57959.0	42512.0	15447.0	73.3484014562018	0.0
LA105_S85_L001_R1_001_trim	52695.0	37071.0	15624.0	70.35012809564475	0.0
LA106_S2_L001_R1_001_trim	178768.0	42608.0	136160.0	23.83424326501387	0.0
LA108_S14_L001_R1_001_trim	119235.0	59997.0	59238.0	50.318279028808654	0.0
LA110_S26_L001_R1_001_trim	83914.0	67600.0	16314.0	80.5586672069023	0.0
LA114_S38_L001_R1_001_trim	152206.0	3537.0	148669.0	2.323824290763833	0.0
LA115_S50_L001_R1_001_trim	46508.0	956.0	45552.0	2.0555603337060293	0.0
LA116_S62_L001_R1_001_trim	132936.0	2942.0	129994.0	2.2130950231690436	0.0
LA118_S74_L001_R1_001_trim	14589.0	342.0	14247.0	2.344231955582974	0.0
LA121_S86_L001_R1_001_trim	52581.0	27922.0	24659.0	53.10283182138035	0.0
LA122_S3_L001_R1_001_trim	85603.0	41685.0	43918.0	48.69572328072614	0.0
LA123_S15_L001_R1_001_trim	63867.0	40029.0	23838.0	62.67556014843346	0.0
LA124_S27_L001_R1_001_trim	104932.0	27130.0	77802.0	25.854839324514924	0.0
LA125_S39_L001_R1_001_trim	92254.0	55010.0	37244.0	59.62885078153792	0.0
LA126_S51_L001_R1_001_trim	61677.0	25606.0	36071.0	41.516286460106684	0.0
LA127_S63_L001_R1_001_trim	93877.0	5738.0	88139.0	6.112253267573528	0.0
LA128_S75_L001_R1_001_trim	43190.0	1950.0	41240.0	4.514934012502894	0.0
LA129_S87_L001_R1_001_trim	88909.0	66085.0	22824.0	74.32880810716576	0.0
LA130_S4_L001_R1_001_trim	11418.0	308.0	11110.0	2.697495183044316	0.0
LA132_S16_L001_R1_001_trim	50567.0	9117.0	41450.0	18.029544960151878	421.04
LA137_S28_L001_R1_001_trim	84892.0	68968.0	15924.0	81.24204872072751	0.0
LA138_S40_L001_R1_001_trim	93039.0	1720.0	91319.0	1.8486871097066822	0.0
LA141_S52_L001_R1_001_trim	120018.0	2909.0	117109.0	2.4238030962022363	0.0
LA142_S64_L001_R1_001_trim	70026.0	1341.0	68685.0	1.915002998886128	0.0
LA143_S76_L001_R1_001_trim	79190.0	1594.0	77596.0	2.0128804141937113	0.0
LA145_S88_L001_R1_001_trim	112033.0	86659.0	25374.0	77.35131613006881	0.0
LA146_S5_L001_R1_001_trim	78653.0	1349.0	77304.0	1.7151284757097631	0.0
LA147_S17_L001_R1_001_trim	121498.0	4687.0	116811.0	3.8576766695748077	223.0
LA148_S29_L001_R1_001_trim	76740.0	1855.0	74885.0	2.417253062288246	0.0
LA149_S41_L001_R1_001_trim	62182.0	1194.0	60988.0	1.9201698240648417	0.0
LA150_S53_L001_R1_001_trim	116.0	2.0	114.0	1.7241379310344827	0.0
LA151_S65_L001_R1_001_trim	65694.0	1129.0	64565.0	1.718573994580936	0.0
