target_id	length	eff_length	est_counts	tpm
MF872149.1	1515	1055	0	0
MF872148.1	1617	1157	7.31886	5.40613
MF872147.1	1610	1150	2715.32	2017.9
MF872146.1	1610	1150	251.739	187.081
MF872145.1	1626	1166	0	0
MF872144.1	1637	1177	0.00361397	0.00262412
MF872143.1	1621	1161	0	0
MF872142.1	1635	1175	0.0097406	0.00708475
MF872141.1	1639	1179	0.00134312	0.00097359
MF872140.1	1643	1183	0.000186447	0.000134694
MF872139.1	1619	1159	2.67392	1.9717
MF872138.1	1628	1168	0	0
MF872137.1	1621	1161	0	0
MF872136.1	1633	1173	0	0
MF872135.1	1623	1163	0	0
MF872134.1	1551	1091	0	0
MF872133.1	1504	1044	182.933	149.75
MF872132.1	1592	1132	16435	12407.9
MF872131.1	1573	1113	0.000493932	0.00037927
MF872130.1	1540	1080	7019.06	5554.33
MF872129.1	1553	1093	19.2661	15.0643
MF872128.1	1397	937	4.59868e-07	4.1944e-07
MF872127.1	1584	1124	1.59804e-06	1.21506e-06
MF872126.1	1540	1080	2.17838e-07	1.7238e-07
MF872125.1	1504	1044	83.5205	68.3705
KU559379.1	1666	1206	0	0
KU559377.1	1663	1203	0	0
KU559376.1	1633	1173	0	0
KU559375.1	1685	1225	0	0
KU559374.1	1613	1153	4.05132	3.00292
KU559373.1	1614	1154	0	0
KU559372.1	1633	1173	0	0
KU559371.1	1633	1173	17.1326	12.4825
KU559378.1	1731	1271	90.0708	60.564
FR875362.2	1685	1225	0	0
FR875360.2	1685	1225	20.5231	14.318
FR875359.2	1685	1225	0	0
FR875356.2	1693	1233	203.511	141.059
FR875355.2	1693	1233	203.511	141.059
FR875352.2	1670	1210	0	0
FR875335.2	1670	1210	0	0
FR875331.2	1670	1210	0	0
FR875314.2	1670	1210	0	0
FR875311.2	1670	1210	0	0
FR875308.2	1670	1210	0	0
JN121408.1	1452	992	0	0
JN121407.1	1451	991	0	0
JN121406.1	1452	992	0	0
JN121405.1	1407	947	0	0
JN121404.1	1452	992	0	0
FR875361.1	795	335	1086.1	2770.78
FR875358.1	853	393	370.662	806.05
FR875357.1	516	56	63666.9	971633
FR875354.1	1451	991	0	0
FR875353.1	1451	991	0	0
FR875351.1	1452	992	0	0
FR875350.1	1451	991	0	0
FR875349.1	1451	991	0	0
FR875348.1	1407	947	0	0
FR875347.1	1451	991	0	0
FR875346.1	1451	991	0	0
FR875345.1	1451	991	0	0
FR875344.1	1451	991	0	0
FR875343.1	1451	991	0	0
FR875342.1	1407	947	0	0
FR875341.1	1451	991	0	0
FR875340.1	1451	991	0	0
FR875339.1	1408	948	0	0
FR875338.1	1451	991	0	0
FR875337.1	1451	991	0	0
FR875336.1	1451	991	0	0
FR875334.1	1449	989	0	0
FR875333.1	1451	991	0	0
FR875332.1	1451	991	0	0
FR875330.1	1451	991	0	0
FR875329.1	1451	991	0	0
FR875328.1	1451	991	0	0
FR875327.1	1408	948	0	0
FR875326.1	1450	990	0	0
FR875325.1	1450	990	0	0
FR875324.1	1438	978	0	0
FR875323.1	1450	990	0	0
FR875322.1	1451	991	0	0
FR875321.1	1451	991	0	0
FR875320.1	1409	949	0	0
FR875319.1	1451	991	0	0
FR875318.1	1407	947	0	0
FR875317.1	1451	991	0	0
FR875316.1	1409	949	0	0
FR875315.1	1451	991	0	0
FR875313.1	1386	926	0	0
FR875312.1	1302	842	395.804	401.739
FR875310.1	1409	949	0	0
FR875309.1	1409	949	0	0
FR875307.1	1451	991	0	0
FR875306.1	1451	991	0	0
AB022105.1	1621	1161	0	0
MF134826.1	1054	594	0	0
MF992087.1	514	54	0	0
HM581932.1	1089	629	28.9123	39.2833
FJ536742.1	993	533	484.66	777.116
AB290459.1	1647	1187	2.41559e-06	1.73919e-06
AB290458.1	1635	1175	0.000903057	0.000656831
AB290457.1	1648	1188	0	0
AB290456.1	1677	1217	0	0
AB290455.1	1677	1217	0	0
AB290454.1	1644	1184	1176.43	849.16
AB246795.1	1680	1220	0	0
AB246794.1	1680	1220	0	0
AB220158.1	1730	1270	2105.48	1416.85
AB095092.1	1719	1259	0	0
AF348522.1	1585	1125	347.595	264.057
EU728657.1	704	244	37.4041	131.011
EU728656.1	704	244	37.4041	131.011
